Investor Name,Fund Type,Fund Stage,Website,Fund Focus (Sectors)
.406 Ventures,Venture Fund,Seed,www.406ventures.com,"Software, Cybersecurity, Healthcare, Big Data, Analytics"
01 Advisors,Venture Fund,"Pre-SeedSeed,Series A",www.01a.com,"Cryptocurrency, Blockchain, Entertainment, Media, Sports, Artificial Intelligence, Machine Learning, AI, ML, FinTech, InsurTech, Big Data, Analytics, Hospitality, SaaS, Travel"
1/0 Capital,Venture Fund,"Series A Series B,Series CSeries D",www.onezerocapital.com,"Software, Mobile, SaaS, Consumer, FinTech"
1confirmation,Venture Fund,"SeedSeries A,Series B","http://www.1confirmation.co
m/","Cryptocurrency, Blockchain, Information Technology"
2.12 Angels,Venture Fund,Seed,www.212angels.com,"Developer Tools, Professional Services"
3ig Ventures,Venture Fund,"SeedSeries A,Series B","https://www.3igventures.co
m/","Cryptocurrency, Blockchain, E-Commerce, FinTech, Healthcare, Impact Investing"
3L Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.3lcap.com/,"PropTech, Software, Enterprise, Logistics, InsurTech, Privacy, SaaS, Transportation, E-Commerce"
3Lines,Venture Fund,"Pre-SeedSeed,Series A",www.3lines.vc,"ClimateTech, CleanTech, Software, Energy, Industrials, Manufacturing, Developer Tools, Transportation"
3one4 Capital,Venture Fund,"SeedSeries A,Series B","http://www.3one4capital.co
m/","Mobile, EdTech, FinTech, Sales, Software"
3VC,Venture Fund,"SeedSeries A,Series B",https://www.three.vc/,"Healthcare, Artificial Intelligence, Machine Learning, AI, ML, Collaboration, Developer Tools, SaaS, Professional, Services"
4BIO Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.4biocapital.com,"BioTech, Healthcare, Life Science"
4DX Ventures,Venture Fund,"Pre-SeedSeed,Series A","https://www.4dxventures.co
m","FinTech, SpaceTech, Telecommunications, TMT, IoT, Internet of Things"
5AM Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.5amventures.com,"BioTech, Life Science, Healthcare, Advanced Materials, Consumer, Hardware, Industrials, Manufacturing, PropTech, IoT, Internet of Things"
6th Man Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.6thman.ventures,"Cryptocurrency, Blockchain, Software"
7BC Venture Capital,Venture Fund,SeedSeries A,https://7BC.VC,"Artificial Intelligence, Machine Learning, AI, ML, Cryptocurrency, Blockchain, FinTech, IoT, Internet of Things, SaaS, Telecommunications, TMT"
7percent Ventures,Venture Fund,"SeedSeries A,Series B",http://7pc.co,"AgTech, FarmTech, Food and Beverage, PropTech, ClimateTech, CleanTech, Robotics, Consumer, Entertainment, Media, Information Technology, Software, Creator Economy, SpaceTech, Big Data, Analytics, IoT, Internet of Things"
7thirty Capital,Venture Fund,"SeedSeries A,Series B",https://7thirtycapital.com/,"AgTech, FarmTech, Enterprise, Software, Supply Chain, Tech"
7wire Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.7wireventures.com,"Elder Care, Healthcare, Professional Services, Service Industry, Software, FinTech, Health & Wellness, Mobile, EdTech, Big Data, Analytics, Information Technology, BioTech, H, Tech"
8VC,Venture Fund,"Pre-SeedSeed,Series A",www.8vc.com,"Manufacturing, FinTech, ClimateTech, CleanTech, Healthcare, EdTech, Infrastructure, Mobile, PropTech, SaaS, Telecommunications, TMT"
9Unicorns Accelerator Fund,Accelerator,"SeedSeries A,Series B",https://www.9unicorns.in/,"Consumer, Health & Wellness, Fin, Tech"
9Yards Capital,Venture Fund,"Series BSeries C,Series D",www.9yardscapital.com,"Manufacturing, B2B, FinTech, Healthcare, Micro-Mobility, SaaS, Supply Chain, Tech, Telecommunications, TMT"
10Branch,Family Office,Series B Series C,http://www.10branch.com,"FinTech, SaaS, Cryptocurrency, Blockchain, Advertising, AdTech, Big Data, Analytics, PropTech, Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, Developer Tools, AgTech, FarmTech, AudioTech, B2C, Beauty, B2B, Bio, Tech, Black, African, American, Founded, Cannabis, ClimateTech, CleanTech, Productivity, CloudTech, Cloud, Security, Construction, Infrastructure, Consumer, Creator Economy, CRM, Hardware, Cybersecurity, Wearables, Quantified Self, Customer Service, D2C, DeepTech, Healthcare, Entertainment, Media, E-Commerce, EdTech, HR Tech, Energy, Enterprise, E-Sports, Gaming, Events, FemTech, Food and Beverage, RestaurantTech, Future of Work, GovTech, Impact Investing, Information Technology, InsurTech, IoT, Internet of Things, Telecommunications, TMT, Mobile, Legal Tech, Life Science, Marketing, MarTech, Logistics, Marketplace, Meeting Software, Micro-Mobility, Network Security, Neuroscience, Oil & Gas, Travel, PaaS, PetTech, Pharmaceuticals, Recruiting, RetailTech, Robotics, Sales, Ridesharing, Sharing Economy, Social Media, Sports, Supply Chain, Sustainability, Women-Founded, Transportation, SpaceTech, Software"
10T Holdings,Venture Fund,Series CSeries D,www.10tfund.com,"Cryptocurrency, Blockchain"
10X Capital,Venture Fund,Series CSeries D,www.10xcapital.com,"Big Data, Analytics, FinTech, Marketplace, Healthcare"
10x Group,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://10x.group/,"E-Commerce, Marketplace, Hospitality, Travel, Consumer, FinTech, RetailTech"
10x Value Partners,Venture Fund,"SeedSeries A,Series B",http://10xvaluepartners.com/,E-Commerce
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
12/12 Ventures,Venture Fund,"SeedSeries A,Series B",https://www.1212.vc,"Information Technology, SaaS, Software"
14W,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.14w.com,"Artificial Intelligence, Machine Learning, AI, ML, Entertainment, Media, Software, E-Commerce, Fashion, Manufacturing, Beauty, Healthcare, RetailTech"
40 North Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.40northventures.com,"Software, Mobile, SaaS, Consumer, FinTech"
43North,Accelerator,"SeedSeries A,Series B",http://www.43north.org/,"Events, PropTech, FinTech, E-Commerce, Marketplace"
75 & Sunny,Venture Fund,"SeedSeries A,Series B",http://75andsunny.vc,"Big Data, Analytics, HR Tech, Software, Advertising, AdTech, PropTech, Travel, SpaceTech, ClimateTech, CleanTech, Energy"
83North,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.83north.com,"Big Data, Analytics, Information Technology, Artificial Intelligence, Machine Learning, AI, ML, Software, CloudTech, HR Tech, SaaS, Enterprise, Computer, Cybersecurity, B2B, Entertainment, Media, Marketing, MarTech, Advertising, AdTech, Developer Tools, Infrastructure, FinTech, PropTech"
111° West Capital,Venture Fund,"SeedSeries A,Series BSeries C",https://111westcapital.com/,"BioTech, Healthcare, Pharmaceuticals"
137 Ventures,Venture Fund,"Series ASeries B,Series C",www.137ventures.com,"Software, DeepTech"
408 Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.408ventures.com,"Software, Mobile, SaaS, Consumer, FinTech"
468 Capital,Venture Fund,SeedSeries A,https://www.468cap.com/,"Cryptocurrency, Blockchain, Information Technology, Artificial Intelligence, Machine Learning, AI, ML, CloudTech, Big Data, Analytics, Collaboration, Software, Legal Tech, EdTech, FinTech, IoT, Internet of Things"
500 Global,Venture Fund,"Pre-SeedSeed,Series A",www.500.co,"AgTech, FarmTech, AudioTech, Big Data, Analytics, E-Commerce, FinTech, IoT, Internet of Things, Mobile, SaaS, Telecommunications, TMT"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
500 Startups,Venture Fund,"SeedSeries A,Series B",http://500.co,"FinTech, Healthcare, Information Technology, Marketing, MarTech, SaaS, Sales, Software, B2B, Collaboration, Enterprise, Energy, ClimateTech, CleanTech, Travel, Delivery, E-Commerce, Food and Beverage, CloudTech, Entertainment, Media, Developer Tools, PaaS, Productivity, Computer, InsurTech, Consumer, Marketplace, CRM, Community, B2C, Cybersecurity, Beauty, Mobile, RetailTech, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, BioTech, Pharmaceuticals, Parenting, Advertising, AdTech, Transportation, PoS, Point of Sale, PropTech, EdTech, HR Tech, IoT, Internet of Things, Customer Service, Health & Wellness, Hardware, Wearables, Quantified Self, Service Industry, Quality Assurance, Emerging Markets, E-Sports, Gaming, Creator Economy, Life Science, Fashion, Legal Tech, Professional Services, Logistics, Market Research, Virtual Reality, AR/VR, Cryptocurrency, Blockchain, Infrastructure, Events, FemTech, Manufacturing, Risk Management, AgTech, FarmTech, Robotics, Sports, RestaurantTech, SpaceTech, Telecommunications, TMT"
500 Startups Japan,Venture Fund,"Pre-SeedSeed,Series A",www.500startups.jp,"Software, Mobile, SaaS, Consumer, FinTech"
500 Startups Vietnam,Venture Fund,Seed,http://vietnam.500.co/,"Healthcare, Life Science, Wearables, Quantified Self, FinTech, Software"
640 Oxford Ventures,Venture Fund,"SeedSeries A,Series B","https://www.640oxfordventu
res.com/","Consumer, B2B"
645 Ventures,Venture Fund,SeedSeries A,www.645ventures.com,"SaaS, Infrastructure, Consumer"
840 Venture Partners,Venture Fund,"Series ASeries B,Series C",https://840vp.com/,"FinTech, Future of Work, Big Data, Analytics"
1414 Ventures,Venture Fund,Pre-SeedSeed,"https://www.1414ventures.co
m/","Cybersecurity, FinTech, Software"
1517 Fund,Venture Fund,"Pre-SeedSeed,Series A",www.1517fund.com,"Hardware, Manufacturing, Software, Artificial Intelligence, Machine Learning, AI, ML, E-Commerce, Marketplace, RetailTech, ClimateTech, CleanTech, Logistics, Supply Chain, Tech, SpaceTech, Consumer, Fashion, CloudTech, FinTech"
1809 Capital,Venture Fund,"Series BSeries C,Series D","https://www.1809capital.com
/",Healthcare
1843 Capital,Venture Fund,"SeedSeries A,Series B",http://1843capital.com,"Elder Care, HR Tech, Healthcare, Information Technology, Health & Wellness, CloudTech, Cybersecurity, SaaS"
1863 Ventures,Venture Fund,Pre-SeedSeed,https://1863ventures.net/,"Beauty, Healthcare, E-Commerce, EdTech, FinTech, RestaurantTech, HR Tech, Impact Investing"
1984 Ventures,Venture Fund,"SeedSeries A,Series B",http://1984.vc,"PropTech, Information Technology, Mobile, SaaS, Software, HR Tech, Healthcare, Consumer, Logistics, Supply Chain, Tech, Computer, FinTech, Big Data, Analytics, Developer Tools, Delivery, Food, Beverage, Artificial Intelligence, Machine Learning, AI, ML, Enterprise, Productivity"
2048 Ventures,Venture Fund,"SeedSeries A,Series B",https://www.2048.vc,"Artificial Intelligence, Machine Learning, AI, ML, E-Commerce, Marketplace, RetailTech, ClimateTech, CleanTech, Big Data, Analytics, B2B, SaaS, Software, Developer Tools, FinTech, Consumer, Information Technology, Food and Beverage, Healthcare, Marketing, MarTech, Entertainment, Media, Creator Economy, Customer Service, Hospitality, Restaurant, Tech"
2150,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://2150.vc,"Big Data, Analytics, Developer Tools, FinTech, GovTech, SaaS, IoT, Internet of Things, BioTech, Advanced Materials, Industrials"
8090 Partners,Venture Fund,"Pre-SeedSeed,Series A",www.8090partners.com,"Software, Mobile, SaaS, Consumer, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
A Capital,Venture Fund,SeedSeries A,www.acapital.com,"Consumer, Enterprise, Software"
A-Level Capital,Venture Fund,Seed,www.alevelcapital.com,"Software, Mobile, SaaS, Consumer, FinTech"
A. M. Pappas & Associates,Venture Fund,"Pre-SeedSeed,Series A",www.ampappas.com,"Software, Mobile, SaaS, Consumer, FinTech"
A.Capital Ventures,Venture Fund,"SeedSeries A,Series B",http://www.acapital.com,"Artificial Intelligence, Machine Learning, AI, ML, Robotics, Software, Big Data, Analytics, CRM, Information Technology, SaaS, Sales, B2B, Developer Tools, Mobile, CloudTech, FinTech, Health & Wellness, Healthcare, InsurTech, Cryptocurrency, Blockchain, ClimateTech, CleanTech, E-Commerce, Entertainment, Media, Transportation, Computer, Cybersecurity"
A'Z Angels,Venture Fund,"Pre-SeedSeed,Series A",www.azangels.vc,"Software, Mobile, SaaS, Consumer, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
